event_a_id,event_a_event_id,event_a_name,event_b_id,event_b_event_id,event_b_name,event_c_id,event_c_event_id,event_c_name,rule_ids_a_to_b,article_ids_a_to_b,rule_ids_b_to_c,article_ids_b_to_c,support_a_to_b,support_b_to_c
EVENT::cac_chat_ma_tuy_khac_o_the_long_co_the_tich_22_lit_tro_len,cac_chat_ma_tuy_khac_o_the_long_co_the_tich_22_lit_tro_len,Các chất ma túy khác ở thể lỏng có thể tích 22 lít trở lên,EVENT::phat_tu_chung_than_hoac_tu_hinh,phat_tu_chung_than_hoac_tu_hinh,Bị phạt tù chung thân hoặc tử hình || Phạt tù chung thân hoặc tử hình:,EVENT::thoi_hieu_thi_hanh_ban_an_20_nam,thoi_hieu_thi_hanh_ban_an_20_nam,Thời hiệu thi hành bản án 20 năm,"1493,1597","248,251",166,60,2,1
EVENT::cac_chat_ma_tuy_khac_o_the_ran_co_khoi_luong_09_kilogam_tro_len,cac_chat_ma_tuy_khac_o_the_ran_co_khoi_luong_09_kilogam_tro_len,Các chất ma túy khác ở thể rắn có khối lượng 09 kilôgam trở lên,EVENT::phat_tu_chung_than_hoac_tu_hinh,phat_tu_chung_than_hoac_tu_hinh,Bị phạt tù chung thân hoặc tử hình || Phạt tù chung thân hoặc tử hình:,EVENT::thoi_hieu_thi_hanh_ban_an_20_nam,thoi_hieu_thi_hanh_ban_an_20_nam,Thời hiệu thi hành bản án 20 năm,"1492,1596","248,251",166,60,2,1
EVENT::heroine_cocaine_methamphetamine_amphetamine_ketamine_fentanyl_mdma_hoac_xlr_11_co_khoi_luong_03_kilogam_tro_len,heroine_cocaine_methamphetamine_amphetamine_ketamine_fentanyl_mdma_hoac_xlr_11_co_khoi_luong_03_kilogam_tro_len,"Heroine, Cocaine, Methamphetamine, Amphetamine, Ketamine, Fentanyl, MDMA hoặc XLR-11 có khối lượng 03 kilôgam trở lên",EVENT::phat_tu_chung_than_hoac_tu_hinh,phat_tu_chung_than_hoac_tu_hinh,Bị phạt tù chung thân hoặc tử hình || Phạt tù chung thân hoặc tử hình:,EVENT::thoi_hieu_thi_hanh_ban_an_20_nam,thoi_hieu_thi_hanh_ban_an_20_nam,Thời hiệu thi hành bản án 20 năm,"1491,1592","248,251",166,60,2,1
EVENT::nhua_thuoc_phien_nhua_can_sa_hoac_cao_coca_co_khoi_luong_30_kilogam_tro_len,nhua_thuoc_phien_nhua_can_sa_hoac_cao_coca_co_khoi_luong_30_kilogam_tro_len,"Nhựa thuốc phiện, nhựa cần sa hoặc cao côca có khối lượng 30 kilôgam trở lên",EVENT::phat_tu_chung_than_hoac_tu_hinh,phat_tu_chung_than_hoac_tu_hinh,Bị phạt tù chung thân hoặc tử hình || Phạt tù chung thân hoặc tử hình:,EVENT::thoi_hieu_thi_hanh_ban_an_20_nam,thoi_hieu_thi_hanh_ban_an_20_nam,Thời hiệu thi hành bản án 20 năm,"1490,1591","248,251",166,60,2,1
EVENT::da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,Đã tái phạm chưa xóa án tích và lại cố ý phạm tội,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_05_nam_den_10_nam,phat_tu_tu_05_nam_den_10_nam,Phạt tù từ 05 năm đến 10 năm || Phạt tù từ 05 năm đến 10 năm:,146,53,"1434,1509,1613,1653,1702,1710,2275,2297,2336,2427,2437,908,923,981","192,193,195,244,249,252,254,258,259,322,324,327,348,349",1,14
EVENT::tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,Tái phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_05_nam_den_10_nam,phat_tu_tu_05_nam_den_10_nam,Phạt tù từ 05 năm đến 10 năm || Phạt tù từ 05 năm đến 10 năm:,145,53,"1434,1509,1613,1653,1702,1710,2275,2297,2336,2427,2437,908,923,981","192,193,195,244,249,252,254,258,259,322,324,327,348,349",1,14
EVENT::da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,Đã tái phạm chưa xóa án tích và lại cố ý phạm tội,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_02_nam_den_07_nam,phat_tu_tu_02_nam_den_07_nam,Phạt tù từ 02 năm đến 07 năm || Phạt tù từ 02 năm đến 07 năm:,146,53,"1995,2033,2256,2364,2565,2704,709,730,743,759,784","172,173,174,175,178,290,297,318,330,366,388",1,11
EVENT::tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,Tái phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_02_nam_den_07_nam,phat_tu_tu_02_nam_den_07_nam,Phạt tù từ 02 năm đến 07 năm || Phạt tù từ 02 năm đến 07 năm:,145,53,"1995,2033,2256,2364,2565,2704,709,730,743,759,784","172,173,174,175,178,290,297,318,330,366,388",1,11
EVENT::da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,Đã tái phạm chưa xóa án tích và lại cố ý phạm tội,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_03_nam_den_07_nam,phat_tu_tu_03_nam_den_07_nam,Phạt tù từ 03 năm đến 07 năm || Phạt tù từ 03 năm đến 07 năm:,146,53,"1408,1449,1459,1466,2270,2281,2314,2350,436,447","146,147,243,245,246,247,321,323,325,328",1,10
EVENT::tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,Tái phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_03_nam_den_07_nam,phat_tu_tu_03_nam_den_07_nam,Phạt tù từ 03 năm đến 07 năm || Phạt tù từ 03 năm đến 07 năm:,145,53,"1408,1449,1459,1466,2270,2281,2314,2350,436,447","146,147,243,245,246,247,321,323,325,328",1,10
