group_type,group_name,sample_count,prediction_coverage,rule_recall_at_5,event_recall_at_5,top1_exact_path_match,oracle_exact_path_match,verification_accuracy,verification_macro_f1,answer_token_f1,answer_rouge_l_f1,citation_f1
question_type,branch_reasoning,4,1.0,0.6,0.6,0.0,0.0,1.0,1.0,0.243246,0.243246,0.392157
question_type,bridge_convergence_fallback,6,1.0,1.0,1.0,0.833333,1.0,1.0,1.0,0.100457,0.100457,0.9
question_type,bridge_event,40,1.0,0.8125,0.866667,0.5,0.95,1.0,1.0,0.128193,0.106819,0.682299
question_type,causal_chain_explanation,35,1.0,0.785714,0.828571,0.4,0.8,1.0,1.0,0.335912,0.312538,0.649158
question_type,convergence_reasoning,10,1.0,0.593333,0.825,0.0,0.0,1.0,1.0,0.233671,0.22633,0.534921
question_type,forward_multihop,70,1.0,0.692857,0.795238,0.357143,0.871429,0.828571,0.90625,0.281317,0.277521,0.458299
question_type,reverse_reasoning,45,1.0,0.466667,0.422222,0.088889,0.266667,0.6,0.75,0.173712,0.156688,0.345273
question_type,yes_no_counterexample,20,1.0,0.825,0.883333,0.55,0.95,1.0,1.0,0.257788,0.171859,0.639286
question_type,yes_no_positive,20,1.0,0.675,0.7,0.45,0.7,0.9,0.947368,0.294414,0.273016,0.603333
difficulty,hard,69,1.0,0.758454,0.830676,0.362319,0.681159,1.0,1.0,0.293078,0.25525,0.614841
difficulty,medium,181,1.0,0.671271,0.714549,0.348066,0.723757,0.823204,0.90303,0.216177,0.203388,0.510369
requires_counterfactual,0,230,1.0,0.684058,0.73471,0.334783,0.691304,0.86087,0.925234,0.235629,0.221689,0.530501
requires_counterfactual,1,20,1.0,0.825,0.883333,0.55,0.95,1.0,1.0,0.257788,0.171859,0.639286
