group_type,group_name,sample_count,prediction_coverage,rule_recall_at_5,event_recall_at_5,top1_exact_path_match,oracle_exact_path_match,verification_accuracy,verification_macro_f1,answer_token_f1,answer_rouge_l_f1,citation_f1
question_type,branch_reasoning,4,1.0,0.6,0.6,0.0,0.0,1.0,1.0,0.693316,0.633489,0.435714
question_type,bridge_convergence_fallback,6,1.0,1.0,1.0,0.833333,1.0,1.0,1.0,0.650327,0.592048,0.916667
question_type,bridge_event,40,1.0,0.8125,0.866667,0.5,0.95,1.0,1.0,0.759546,0.759546,0.754167
question_type,causal_chain_explanation,35,1.0,0.785714,0.828571,0.4,0.8,1.0,1.0,0.772184,0.762483,0.67619
question_type,convergence_reasoning,10,1.0,0.693333,0.825,0.0,0.0,1.0,1.0,0.843217,0.827343,0.59663
question_type,forward_multihop,70,1.0,0.692857,0.795238,0.357143,0.871429,1.0,1.0,0.768925,0.759648,0.680952
question_type,reverse_reasoning,45,1.0,0.466667,0.422222,0.088889,0.266667,0.6,0.75,0.326749,0.315052,0.363175
question_type,yes_no_counterexample,20,1.0,0.825,0.883333,0.55,0.95,1.0,1.0,0.891648,0.889169,0.675
question_type,yes_no_positive,20,1.0,0.675,0.7,0.45,0.7,0.9,0.947368,0.642503,0.630086,0.629444
difficulty,hard,69,1.0,0.772947,0.830676,0.362319,0.681159,1.0,1.0,0.812534,0.801126,0.650374
difficulty,medium,181,1.0,0.671271,0.714549,0.348066,0.723757,0.889503,0.94152,0.639018,0.629218,0.620249
requires_counterfactual,0,230,1.0,0.688406,0.73471,0.334783,0.691304,0.913043,0.954545,0.669105,0.658186,0.624526
requires_counterfactual,1,20,1.0,0.825,0.883333,0.55,0.95,1.0,1.0,0.891648,0.889169,0.675
