reference_method,comparator_method,metric,delta_reference_minus_comparator,bootstrap_ci_95_low,bootstrap_ci_95_high,test,p_value,reference_only_correct,comparator_only_correct,p_value_holm
full_legal_scm,llm_only,decision_accuracy,0.92,0.884,0.952,exact_mcnemar,0.0,230,0,0.0
full_legal_scm,llm_only,answer_token_f1,0.227289,0.193438,0.261408,paired_randomization,0.0002,,,0.002
full_legal_scm,llm_only,answer_rouge_l_f1,0.236321,0.204362,0.269803,paired_randomization,0.0002,,,0.002
full_legal_scm,llm_only,citation_f1,0.553929,0.509172,0.599857,paired_randomization,0.0002,,,0.002
full_legal_scm,vanilla_rag,decision_accuracy,0.324,0.256,0.392,exact_mcnemar,0.0,90,9,0.0
full_legal_scm,vanilla_rag,answer_token_f1,0.109987,0.07321,0.146156,paired_randomization,0.0002,,,0.002
full_legal_scm,vanilla_rag,answer_rouge_l_f1,0.121422,0.085623,0.157325,paired_randomization,0.0002,,,0.002
full_legal_scm,vanilla_rag,citation_f1,0.056148,0.00423,0.108894,paired_randomization,0.040192,,,0.160768
full_legal_scm,causal_path_rag,decision_accuracy,0.012,-0.032,0.056,exact_mcnemar,0.7201,17,14,0.829634
full_legal_scm,causal_path_rag,answer_token_f1,-0.008285,-0.025189,0.008418,paired_randomization,0.332733,,,0.829634
full_legal_scm,causal_path_rag,answer_rouge_l_f1,-0.009113,-0.025766,0.006551,paired_randomization,0.276545,,,0.829634
full_legal_scm,causal_path_rag,citation_f1,-0.033114,-0.057561,-0.009787,paired_randomization,0.004199,,,0.020996
